65075141	
A549E852	
4FFAB7C4	
99A5DE25	IsFlagSet
3378635D	
E91B0504	
7C3B36C5	
1BB47604	
44B5C4ED	save_menu_disable
4D849AA6	save_menu_enable
F8004993	save_point
3474D65B	
EB5CC468	SetFlag
9AF10167	
3A3BFB29	
D538F7B5	
4E1EB9D0	
F8D18340	
A7C6E918	
EFD49BC9	
72DB7ABF	
2075C300	
AD0F8767	
AF6571AB	
A909A32A	
163C0878	
D08A57F8	EFD59130
D215E29A	
23D5D11D	
AEFC64DA	
FB7FB744	
CA5C98F2	
0D36E2A7	
BEF4EDFA	
5C9761C5	
B758AC4E	
2C18D5A9	
45E32EA6	
E316A8F2	
BB9D7A7F	
6DDEB30E	
1F5A14D4	
F5E5BE93	
E5A2CE14	
850EECF4	
D481E1A2	
EBB5886C	
50CD2DCA	
F0FD9886	
2E99E98C	
D583668C	
1CD5BCA8	
62442EC6	
FAF17B1C	
DA60F137	
F430015B	
321717D1	MarkFontProportional?
4EA2D1FC	
95FF28F2	
EE154520	get_autospeed
111BD910	get_effectspeed
C5270429	get_font_name$
E5C70196	get_mojispeed
1F9F3D5A	GetVoiceChannelVolume
3513EE87	
F4F00701	
22C23FA2	
735C88F1	
68BA0964	
DDD25909	
97BD691D	IsFemaleVoiceEnabled
02026AC6	IsMaleVoiceEnabled
E5DCEF92	GetContinueVoice
C692BE76	GetLowerMusicDuringVoice
13C305DA	GetVoicePanningEnabled
6ED38886	set_autospeed
0C93FCB4	SetEffectSpeed
CD111B0E	
1EC3C6BB	
6501CC30	set_mojispeed
0C7A0E97	SetMusicVolume
6FCB7185	
072E738C	SetSoundVolume
6EAEC2A0	SetVoiceVolume
BFA74901	
B3FFDFFA	
15D07DF8	
0DC634C4	PlayMusic
844D2028	
B268F04F	Sound1Loop
DE1E2ED0	Sound2Loop
4311CFA6	Sound3Loop
26DC6566	Sound4Loop
4980F82C	
4F6367B3	FadeMusic?
15EEDEAA	
379FDB39	
EEAA9104	
2626FE02	
F86FC950	
A589DBD1	
ABB7FCFB	
D011FF32	
F8D8925B	
91CEACF2	
0C070535	
E7B90DF5	SetMusicVolume
D8279A9B	
F62E3CA7	Sound1
708B0256	sound2
170B0B45	
2E861C51	
E712FEC1	
E0AA2F52	
B8155FF4	
A0B0FEAD	
546F69C3	
E799EAC8	
804FF66D	
ED84E320	sound3
C0E98B1D	
39AE7891	
F03A9A01	
F7824B92	
5747E915	
77527EF5	
838DE99B	
08CB5C29	
57AD7635	
884949E0	Sound4
8AD70056	
5C7746D1	
95E3A441	
925B75D2	
B669E371	
3D6CF5BE	
C9B362D0	
E9E5564D	
1D93FD7E	
8424CF12	sound_ch
9CABFDF3	sound_ch_fade
7B657BAB	sound_ch_fadeout
B2F1993B	sound_ch_get_fn
A65B03AE	sound_ch_pan
2B10081B	sound_ch_stat
DFCF9F75	sound_ch_stop
F9D7B692	sound_ch_vol
0BEF00DB	sound_ch_wait
C0C15D7C	
926C13E5	
5BF8F175	
5C4020E6	
7F918815	
777AA894	
83A53FFA	
201D3D29	
5785A054	
32D0236C	
8E8167F2	voice_ch
19FC7CC7	voice_ch_fade
8F905B3F	voice_ch_fadeout
4604B9AF	voice_ch_get_fn
94EAEFFC	voice_ch_pan
AE47892F	voice_ch_stat
5A981E41	voice_ch_stop
CB665AC0	voice_ch_vol
8EB881EF	voice_ch_wait
46B28FEF	FadeVoice?
173B92D1	
DEAF7041	
DF91CFC5	
90D5298A	
F1097A07	voice_stat
05D6ED69	
801D7AF9	SetVoiceVolume?
D1F672C7	voice_wait
2BD1709D	
7E0B8320	
CF2B1E50	
6DE6CDFC	
DFD5599E	invalidate_rect
F80BC9B6	SpriteAlphaDefine1
A30A7D75	SpriteAlphaDefine2
FF7C52E6	sprite_alfa_set
D7771B72	sprite_alfa_wait
DFDBA8E4	sprite_animate_add
C29B30E3	sprite_animate_define
52819912	SpriteAnimateDefine2?
103EDAC0	sprite_animate_wait
7B0E970D	sprite_clip
EF4581DC	sprite_create
F6A05538	SpriteCreateAndUseBackBuffer?
C2C3C4F4	sprite_create_file
CD71FE7A	SpriteCreateFileAndAddAlphaChannel
265E07D7	sprite_get_page
6B4A7873	sprite_get_pos_x
F6459905	sprite_get_pos_y
DCC706EF	DoesSpriteExist
68EF2987	is_sprite_move
63F660A2	sprite_len_x
FEF981D4	sprite_len_y
E119D5BA	sprite_move
40258A56	sprite_move_wait
4AB0CAEF	sprite_paste
63C341B1	sprite_pop
4A02D664	sprite_priority_high
5548EF5E	sprite_priority_high_single
69073588	sprite_priority_low
7BFFC5B1	sprite_priority_low_single
721FA5B7	sprite_push
58B31737	sprite_release
661AFB43	sprite_rotate
3F34D519	ps_sprite_set_smooth_animation
EDCA8992	sprite_tl_set
01B4517C	sprite_xmodify_define
E76F8A65	ps_sprite_xmodify_get_
3B1D5537	sprite_xmodify_set
6F384A3D	sprite_ymodify_define
42E41A6B	ps_sprite_ymodify_get_
BA383010	sprite_ymodify_set
8838FD56	sprite_page_auto_release
